Agency,Agency Name
DOE,School - PS 298 Dr Betty Shabazz
DOE,School - PS 295
DOE,School - PS 290 Manhattan New School
DOE,School - PS 139 Rego Park
DOE,School - PS 14 Cornelius Vanderbilt
DOE,School - PS 140 Eagle
DOE,School - PS 288 The Shirley Tanyhill
DOE,School - PS 140 Edward K Ellington
DOE,School - PS 145 The Bloomingdale School
DOE,School - PS 28 The Thomas Emanuel Early Childhood Center
DOE,School - PS 146
DOE,School - PS 279 Captain Manuel Rivera Jr
DOE,School - PS 147 Isaac Remsen
DOE,School - PS 274 Kosciusko
DOE,School - PS 270 Johann Dekalb
DOE,School - PS 149 Danny Kaye
DOE,School - PS 15 Patrick F Daly
DOE,School - PS 150 Charles James Fox
DOE,School - PS 138 Sunrise
DOE,School - PS 138
DOE,School - PS 150 Tribeca Learning Center
DOE,School - PS 134 Henrietta Szold
DOE,School - PS 340
DOE,School - PS 34 Oliver H Perry
DOE,School - PS 34 Franklin D Roosevelt
DOE,School - PS 129 Patricia Larkin
DOE,School - PS 333 Manhattan School for Children
DOE,School - PS 332 Charles H Houston
DOE,School - PS 33 Timothy Dwight
DOE,School - PS 129 Twin Parks Upper
DOE,School - PS 329 Surfside
DOE,School - PS 13 Roberto Clemente
DOE,School - PS 321 William Penn
DOE,School - PS 32 Samuels Mills Sprole
DOE,School - PS 32 Belmont
DOE,School - PS 130 The Parkside
DOE,School - PS 31 William T Davis
DOE,School - PS 132 Ralph Bunche
DOE,School - PS 132 The Conselyea School
DOE,School - PS 133 Fred R Moore
DOE,School - PS 134
DOE,School - PS 26 Rufus King
DOE,School - PS 257 John F Hylan
DOE,School - PS 80 Thurgood Marshall Magnet
DOE,School - PS 226 - Manhattan
DOE,School - PS 224
DOE,School - PS 176 Ovington
DOE,School - PS 221 Toussaint L'Ouverture
DOE,School - PS 220 Edward Mandel
DOE,School - PS 179 Kensington
DOE,School - PS 18 John Peter Zenger
DOE,School - PS 186 Walter J Damrosch School
DOE,School - PS 188 Island School
DOE,School - PS 189 Lincoln Terrace
DOE,School - PS 214 Michael Friedsam
DOE,School - PS 190 Sheffield
DOE,School - PS 211
DOE,School - PS 195 William Haberle
DOE,School - PS 197 Brooklyn
DOE,School - PS 199 Frederick Wachtel
DOE,School - Bronx Little School
DOE,School - PS 2 Alfred Zimberg
DOE,School - PS 2 Meyer London
DOE,School - PS 206 Joseph F Lamb
DOE,School - PS 175 Henry H Garnet
DOE,School - PS 174 Dumont
DOE,School - PS 157 Grove Hill
DOE,School - PS 229 Dyker
DOE,School - PS 159 Isaac Pitkin
DOE,School - PS 254
DOE,School - PS 250 George H Lindsay
DOE,School - PS 25 Eubie Blake School
DOE,School - PS 16 Wakefield
DOE,School - PS 245
DOE,School - PS 163 Bath Beach
DOE,School - PS 241 Emma L Johnston
DOE,School - PS 24 Andrew Jackson
DOE,School - PS 24
DOE,School - PS 238 Anne Sullivan
DOE,School - PS 236 Langston Hughes
DOE,School - PS 234
DOE,School - PS 169 Bay Terrace
DOE,School - PS 169 Sunset Park
DOE,School - PS 230 Dr Roland N Patterson
DOE,School - PS 23 Richmondtown
DOE,School - PS 23 Carter G Woodson
DOE,School - PS 173 Fresh Meadows
DOE,School - PS 127 Aerospace Science Magne
DOE,School - PS 35
DOE,School - PS 12 Lewis and Clark School
DOE,School - PS 65 The Raymond York Elementary School
DOE,School - MS 390
DOE,School - MS 51 William Alexander
DOE,School - Magnet School for Early Childhood
DOE,School - PS 62 Chester Park
DOE,School - PS 61 Francisco Oller
DOE,School - PS 60 Woodhaven
DOE,School - Manhattan Bridges High School
DOE,School - Mark Twain IS 239 for the Gifted and Talented
DOE,School - Marsh Avenue School for Expeditionary Learning
DOE,School - PS 59 The Community School of Technology
DOE,School - PS 58 The Carroll
DOE,School - PS 58
DOE,School - PS 57 Hubert H Humphrey
DOE,School - Midwood High School
DOE,School - PS 56 The Louis Desario School
DOE,School - PS 56 Lewis H Latimer
DOE,School - PS 56 Harry Eichler
DOE,School - Millennium High School
DOE,School - PS 55 Henry M Boehm
DOE,School - MS 35 Stephen Decatur
DOE,School - PS 67 Charles A Dorsey
DOE,School - PS 115 Glen Oaks
DOE,School - PS 67 Mohegan School
DOE,School - JHS 234 Arthur W Cunningham
DOE,School - JHS 291 Roland Hayes
DOE,School - PS 79 Francis Lewis
DOE,School - JHS 318 Eugenio Maria De Hostos
DOE,School - JHS 383 Philippa Schuyler
DOE,School - JHS 45 John S Roberts
DOE,School - JHS 62 Ditmas
DOE,School - JHS 74 Nathaniel Hawthorne
DOE,School - JHS 88 Peter Rouget
DOE,School - PS 75 Mayda Cortiella
DOE,School - John V Lindsay Wildcat Academy Charter School
DOE,School - Landmark High School
DOE,School - MS 101 Edward R Byrne
DOE,School - MS 172 Irwin Altman
DOE,School - MS 245 The Computer School
DOE,School - PS 7 Abraham Lincoln
DOE,School - MS 260 Clinton School Writers and Artists
DOE,School - MS 301 Paul L Dunbar
DOE,School - PS 204 Vince Lombardi
DOE,School - Monroe Academy for Business-Law
DOE,School - Mott Hall High School
DOE,School - PS 54 Hillside
DOE,School - Muscota
DOE,School - PS 107 John W Kimball
DOE,School - PS 107 Thomas A Dooley
DOE,School - PS 108 Assemblyman Angelo Del Toro Educational Complex
DOE,School - PS 41 New Dorp
DOE,School - PS 41 Gun Hill Road
DOE,School - PS 108 Captain Vincent G Fowler
DOE,School - PS 108 Philip J Abinanti
DOE,School - PS 41 Crocheron
DOE,School - PS 109
DOE,School - PS 40 George W Carver
DOE,School - PS 40 Augustus Saint Gaudens
DOE,School - PS 398 Walter Weaver
DOE,School - PS 396 - Bronx
DOE,School - PS 39 Henry Bristow
DOE,School - PS 112 Bronxwood
DOE,School - PS 376
DOE,School - PS 370
DOE,School - PS 115 Daniel Mucatel School
DOE,School - PS 369 Coy L Cox School
DOE,School - PS 106 Edward Everett Hale
DOE,School - PS 104 The Bays Water
DOE,School - PS 102 The Bayview
DOE,School - New Voices School of Academic and Creative Arts
DOE,"School - NYC Charter High School for Architecture, Engineering, and Construction Industries"
DOE,School - NYC Lab Middle School for Collaborative Studies
DOE,School - PS 52 Sheepshead Bay
DOE,School - NYC Laboratory School
DOE,School - PS 51 Elias Howe
DOE,School - NYCiSchool
DOE,School - New Day Academy
DOE,School - PS 50 Clara Barton
DOE,School - New World High School
DOE,School - PS 101 The Verrazano
DOE,School - Norman Thomas High School
DOE,School - PS 49 Dorothy Bonawit Kole
DOE,School - PS 48 William Wordsworth
DOE,School - PS 48 William C Wilcox
DOE,School - PS 48 P O Michael J Buczek
DOE,School - PS - IS 266
DOE,School - PS 47 John Randolph
DOE,School - PS 47 Chris Galas
DOE,School - PS 186 Castlewood
